total_return,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,cost_drag_ann,avg_exposure,strategy,split,cost_bps,display_name
0.13315816749616416,0.06233020202265527,0.25841554933124783,0.3633061032422289,-0.3231020417342695,0.19291181723301465,0.05886116442738324,0.0074165067178502886,0.9019513755598209,final_research_ensemble,validation,5,Final Research Ensemble
-0.16965105925242818,-0.06943641712608029,0.18704650002699552,-0.2914894571766439,-0.3194213968442122,-0.21738185923701825,0.06144393241167435,0.007741935483870966,0.834485407066052,final_research_ensemble,holdout,5,Final Research Ensemble
-0.16371090947014932,-0.022781400949369646,0.22910824241172054,0.013875477191697147,-0.38835895399671116,-0.05866068160633312,0.06287297527706734,0.007921994884910485,0.8433930093776641,final_research_ensemble,full,5,Final Research Ensemble
-0.2854914651075807,-0.10254251800152792,0.27603610256706457,-0.2539486905475853,-0.4794963387396399,-0.2138546422920804,0.001277139208173691,0.0003218390804597701,1.0,buy_and_hold,train,10,Buy & Hold QQQ
0.07406865079914193,0.03516538115715773,0.28413478854514856,0.2639295224837718,-0.3735858904107594,0.09412930750273579,0.0,0.0,1.0,buy_and_hold,validation,10,Buy & Hold QQQ
-0.26038936461251905,-0.11020176286245165,0.20985610251684586,-0.4516104410429094,-0.4005272233267755,-0.27514175427856513,0.0,0.0,1.0,buy_and_hold,holdout,10,Buy & Hold QQQ
-0.43239970919713755,-0.07040018325396336,0.25816234053783677,-0.1535826134820489,-0.5073248122425125,-0.13876747510687593,0.0005115089514066496,0.00012890025575447572,1.0,buy_and_hold,full,10,Buy & Hold QQQ
-0.08262430801218001,-0.027373194757143504,0.21598753901841372,-0.020761143695400854,-0.38530400046123414,-0.07104311069798391,0.1222860791826309,0.030816091954022986,0.2771392081736909,medium_term_trend,train,10,Medium-Term Trend
0.26839317604248536,0.12186961048505895,0.24311925496758258,0.594794758236035,-0.2955123193605139,0.4124011166396844,0.09213051823416507,0.023216890595009598,0.5215930902111324,medium_term_trend,validation,10,Medium-Term Trend
-0.057911562117151316,-0.02282809822426668,0.17535803919555443,-0.04420299713863196,-0.22739345073608808,-0.10039030653860334,0.09216589861751152,0.0232258064516129,0.3191244239631336,medium_term_trend,holdout,10,Medium-Term Trend
0.09620757537209124,0.011910708854778518,0.2112963747773022,0.16166801949565418,-0.38530400046123414,0.030912497250276713,0.10421994884910486,0.026263427109974424,0.35626598465473147,medium_term_trend,full,10,Medium-Term Trend
-0.43985474240571,-0.1701620023486985,0.4122741836216891,-0.2461660468634436,-0.6363637425039057,-0.267397387662535,0.0019157088122605363,0.0004827586206896551,1.4744572158365261,rsi_deep_value,train,10,RSI Deep Value
0.04508793370199049,0.021560148356071007,0.42620218281772276,0.2639295224837719,-0.5089115522457324,0.042365217022349105,0.0,0.0,1.5,rsi_deep_value,validation,10,RSI Deep Value
